campaign_id,campaign_name,channel,campaign_type,target_segment,start_date,end_date,budget,impressions,clicks
CMP1014,Subscription Offer - Display - New Signups #15,Display,Subscription Offer,New Signups,2024-08-18,2024-09-16,4685.44,200,11
CMP1089,Cross-sell - Push Notification - Large Business #90,Push Notification,Cross-sell,Large Business,2025-07-04,2025-08-17,6550.07,408,11
CMP1091,Retention - Social Media - Free Users #92,Social Media,Retention,Free Users,2024-12-13,2025-01-03,500.0,200,16
CMP1085,Upgrade - Referral - All Customers #86,Referral,Upgrade,All Customers,2024-08-01,2024-08-30,4188.01,505,22
CMP1068,Retention - Partnership - Medium Business #69,Partnership,Retention,Medium Business,2025-06-20,2025-08-05,2967.9,200,18
CMP1009,Acquisition - Email - New Signups #10,Email,Acquisition,New Signups,2024-11-13,2024-12-20,7919.59,796,36
CMP1052,Retention - Social Media - All Customers #53,Social Media,Retention,All Customers,2024-01-27,2024-03-19,946.45,200,9
CMP1043,Subscription Offer - Push Notification - Paid Users #44,Push Notification,Subscription Offer,Paid Users,2024-02-13,2024-03-28,1550.51,200,3
CMP1072,Retention - Display - Paid Users #73,Display,Retention,Paid Users,2025-05-13,2025-06-12,10645.24,262,15
CMP1099,Reactivation - Push Notification - Paid Users #100,Push Notification,Reactivation,Paid Users,2024-01-01,2024-01-17,11657.31,2690,62
CMP1094,Retention - Push Notification - All Customers #95,Push Notification,Retention,All Customers,2025-07-17,2025-08-03,4864.01,236,6
CMP1002,Cross-sell - Referral - Large Business #3,Referral,Cross-sell,Large Business,2025-06-11,2025-06-21,780.68,200,2
CMP1028,Subscription Offer - Push Notification - Micro Business #29,Push Notification,Subscription Offer,Micro Business,2025-12-10,2025-12-31,1422.93,200,2
CMP1095,Subscription Offer - Partnership - Paid Users #96,Partnership,Subscription Offer,Paid Users,2024-01-25,2024-03-21,2162.69,200,14
CMP1016,Upgrade - Email - Small Business #17,Email,Upgrade,Small Business,2025-07-16,2025-09-19,1607.19,200,4
CMP1008,Reactivation - Referral - Large Business #9,Referral,Reactivation,Large Business,2025-06-02,2025-07-03,500.0,200,5
CMP1039,Retention - Display - Micro Business #40,Display,Retention,Micro Business,2024-01-16,2024-03-21,1902.8,200,3
CMP1081,Subscription Offer - Display - All Customers #82,Display,Subscription Offer,All Customers,2024-08-25,2024-11-03,4150.74,200,8
CMP1080,Acquisition - Paid Search - New Signups #81,Paid Search,Acquisition,New Signups,2025-04-27,2025-06-09,13092.89,468,8
CMP1070,Acquisition - Social Media - Micro Business #71,Social Media,Acquisition,Micro Business,2024-01-28,2024-02-13,4864.1,200,4
CMP1048,Acquisition - Push Notification - All Customers #49,Push Notification,Acquisition,All Customers,2025-05-14,2025-06-26,3983.68,342,11
CMP1088,Subscription Offer - Partnership - Large Business #89,Partnership,Subscription Offer,Large Business,2025-06-01,2025-06-08,1251.48,200,6
CMP1071,Subscription Offer - Push Notification - Large Business #72,Push Notification,Subscription Offer,Large Business,2025-10-23,2025-12-15,7504.29,529,5
CMP1005,Acquisition - Partnership - At-risk Customers #6,Partnership,Acquisition,At-risk Customers,2025-03-31,2025-05-01,4393.14,290,13
CMP1097,Subscription Offer - Paid Search - New Signups #98,Paid Search,Subscription Offer,New Signups,2025-02-22,2025-03-03,1670.53,200,11
CMP1066,Cross-sell - Referral - At-risk Customers #67,Referral,Cross-sell,At-risk Customers,2024-03-21,2024-04-22,27754.51,4994,262
CMP1007,Subscription Offer - Email - Micro Business #8,Email,Subscription Offer,Micro Business,2024-04-14,2024-05-15,1832.39,200,3
CMP1021,Reactivation - Email - At-risk Customers #22,Email,Reactivation,At-risk Customers,2024-01-10,2024-01-28,995.74,200,4
CMP1035,Subscription Offer - Email - Small Business #36,Email,Subscription Offer,Small Business,2024-04-23,2024-06-08,1350.67,200,6
CMP1054,Subscription Offer - Referral - Free Users #55,Referral,Subscription Offer,Free Users,2025-10-28,2025-12-08,5953.31,755,32
CMP1075,Retention - Email - At-risk Customers #76,Email,Retention,At-risk Customers,2024-09-15,2024-11-02,11522.42,796,31
CMP1065,Acquisition - Social Media - New Signups #66,Social Media,Acquisition,New Signups,2025-07-03,2025-08-21,1693.74,200,4
CMP1001,Acquisition - Display - Free Users #2,Display,Acquisition,Free Users,2024-12-02,2024-12-14,1175.89,200,5
CMP1027,Acquisition - Email - Free Users #28,Email,Acquisition,Free Users,2024-08-04,2024-09-03,6255.48,415,14
CMP1049,Subscription Offer - Paid Search - Large Business #50,Paid Search,Subscription Offer,Large Business,2025-01-07,2025-01-19,3969.29,200,13
CMP1053,Reactivation - Push Notification - At-risk Customers #54,Push Notification,Reactivation,At-risk Customers,2024-02-05,2024-03-02,1647.15,200,6
CMP1034,Subscription Offer - Social Media - At-risk Customers #35,Social Media,Subscription Offer,At-risk Customers,2025-06-05,2025-08-13,18734.26,606,12
CMP1074,Retention - Paid Search - Paid Users #75,Paid Search,Retention,Paid Users,2024-06-01,2024-06-16,8557.39,200,14
CMP1076,Cross-sell - Social Media - New Signups #77,Social Media,Cross-sell,New Signups,2024-04-28,2024-07-04,6475.68,358,10
CMP1069,Acquisition - Referral - At-risk Customers #70,Referral,Acquisition,At-risk Customers,2024-09-03,2024-09-27,1236.7,200,3
CMP1023,Acquisition - Social Media - Free Users #24,Social Media,Acquisition,Free Users,2025-07-11,2025-08-30,3266.29,200,3
CMP1045,Retention - Email - Small Business #46,Email,Retention,Small Business,2024-04-22,2024-06-03,1655.3,200,6
CMP1012,Subscription Offer - Social Media - Large Business #13,Social Media,Subscription Offer,Large Business,2025-03-12,2025-04-27,4440.4,200,8
CMP1064,Upgrade - Paid Search - Micro Business #65,Paid Search,Upgrade,Micro Business,2024-02-01,2024-02-21,2998.86,200,5
CMP1086,Cross-sell - Email - All Customers #87,Email,Cross-sell,All Customers,2025-06-23,2025-08-29,1821.01,200,4
CMP1011,Upgrade - Display - New Signups #12,Display,Upgrade,New Signups,2025-02-19,2025-04-15,3018.47,200,3
CMP1017,Acquisition - Email - At-risk Customers #18,Email,Acquisition,At-risk Customers,2024-04-14,2024-05-04,1510.3,200,4
CMP1056,Upgrade - Email - New Signups #57,Email,Upgrade,New Signups,2024-02-15,2024-04-01,1119.78,200,14
CMP1019,Upgrade - Display - Paid Users #20,Display,Upgrade,Paid Users,2025-08-01,2025-08-24,4319.49,200,7
CMP1030,Subscription Offer - Paid Search - New Signups #31,Paid Search,Subscription Offer,New Signups,2025-10-03,2025-10-19,7992.78,200,2
CMP1062,Acquisition - Push Notification - At-risk Customers #63,Push Notification,Acquisition,At-risk Customers,2024-05-14,2024-06-17,4093.48,407,11
CMP1063,Upgrade - Email - Medium Business #64,Email,Upgrade,Medium Business,2025-11-01,2025-12-30,8031.76,650,21
CMP1036,Retention - Email - Micro Business #37,Email,Retention,Micro Business,2024-11-20,2025-01-24,48355.7,3160,103
CMP1022,Acquisition - Referral - Small Business #23,Referral,Acquisition,Small Business,2025-08-31,2025-10-17,968.16,200,5
CMP1015,Subscription Offer - Social Media - All Customers #16,Social Media,Subscription Offer,All Customers,2025-05-06,2025-07-02,1915.33,200,9
CMP1018,Retention - Paid Search - Large Business #19,Paid Search,Retention,Large Business,2025-01-26,2025-02-21,2549.01,200,3
CMP1051,Retention - Push Notification - At-risk Customers #52,Push Notification,Retention,At-risk Customers,2024-03-15,2024-04-28,2654.69,456,5
CMP1057,Acquisition - Partnership - New Signups #58,Partnership,Acquisition,New Signups,2025-05-23,2025-07-19,2016.67,200,1
CMP1032,Upgrade - Push Notification - Micro Business #33,Push Notification,Upgrade,Micro Business,2025-03-28,2025-04-30,7764.74,679,18
CMP1059,Cross-sell - Referral - New Signups #60,Referral,Cross-sell,New Signups,2024-05-22,2024-06-30,1926.52,282,15
CMP1078,Subscription Offer - Push Notification - Paid Users #79,Push Notification,Subscription Offer,Paid Users,2025-03-12,2025-03-31,2385.1,263,10
CMP1060,Retention - Push Notification - Large Business #61,Push Notification,Retention,Large Business,2025-09-28,2025-10-06,3773.15,200,8
CMP1042,Cross-sell - Referral - Free Users #43,Referral,Cross-sell,Free Users,2024-12-11,2025-02-15,3415.14,614,17
